r,Node_ID,Sensor_Index,pivot_order,Energy_Weighted_Modal_Exposure,Baseline_Systemwise_Mean_NSE,Dropout_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE_z,Energy_Weighted_Modal_Exposure_z
59,J306,63,9,0.0605820697628529,0.9999429719967803,0.8586014110786062,0.14134156091817432,3.37784509028532,2.450610559407124
59,163,33,10,0.007588902867730356,0.9999429719967803,0.9983255481010711,0.001617423895709422,-0.4124125148159816,-0.44848670177848665
59,J297,60,11,0.0607307332906645,0.9999429719967803,0.8589191037933491,0.14102386820343144,3.3692271288235442,2.4587434952471314
59,148,29,12,0.009065408692092795,0.9999429719967803,0.9979578952709909,0.0019850767257897526,-0.40243929927180583,-0.3677114954201792
59,123,21,13,0.012371592770369439,0.9999429719967803,0.9977051220123622,0.0022378499844184626,-0.3955823897477938,-0.18684007806788874
59,J304,62,14,0.0607048488243402,0.9999429719967803,0.8476254843449149,0.15231748765186565,3.675585986467914,2.457327433708923
59,120,20,15,0.023404549109152545,0.9999429719967803,0.9949650564313092,0.004977915565471335,-0.3212533967163881,0.4167398809832179
59,96,12,16,0.028493688699355247,0.9999429719967803,0.992387324651093,0.00755564734568745,-0.2513279873198386,0.6951514482131405
59,J303,61,17,0.060809238956497536,0.9999429719967803,0.851688747889384,0.14825422410739642,3.565362972183136,2.4630383048261573
59,137,26,18,0.010192391852885632,0.9999429719967803,0.9984031221563476,0.0015398498404328108,-0.41451684452762944,-0.3060576259444614
59,94,11,19,0.029381230722102622,0.9999429719967803,0.9905661949159154,0.009376777080865173,-0.20192671009081054,0.743706210988997
59,OF-02,72,20,0.03955930478847117,0.9999429719967803,0.9825739023426129,0.017369069654167752,0.014877976298372581,1.3005181242749186
59,125,23,21,0.00950771363446244,0.9999429719967803,0.9977305703187712,0.002212401678009227,-0.3962727188416786,-0.3435143182714642
59,189,42,22,0.0015246044264770932,0.9999429719967803,0.9996252896713481,0.00031768232543240337,-0.44767024104990155,-0.7802462857422758
59,197,43,23,0.0009481834150040576,0.9999429719967803,0.9998250296570047,0.00011794233977582675,-0.45308853180345926,-0.8117805508855264
59,99,13,24,0.026624186862073542,0.9999429719967803,0.992821282767953,0.007121689228827408,-0.2630998478428329,0.5928766083838624
59,25,3,25,0.03447638507052872,0.9999429719967803,0.9845517055776242,0.015391266419156356,-0.03877333916253901,1.0224468276061105
59,20,2,26,0.03439196890953814,0.9999429719967803,0.9869900540999076,0.012952917896873082,-0.1049177378857587,1.0178286725595942
59,154,32,27,0.007386278632224045,0.9999429719967803,0.9990966295860093,0.0008463424107711414,-0.43332942670193747,-0.45957166613566003
59,152,31,28,0.007307947195408884,0.9999429719967803,0.9983539850467323,0.0015889869500481518,-0.41318391589138176,-0.46385694416754286
59,110,14,29,0.023376139889505817,0.9999429719967803,0.9953672751652519,0.004575696831528673,-0.3321642718717328,0.4151856977611952
59,203,44,30,0.0009987504506670996,0.9999429719967803,0.9997666422826958,0.0001763297140846149,-0.45150467382278564,-0.80901417998931
59,127,24,31,0.002134026938779218,0.9999429719967803,0.9996722738367526,0.0002706981600278254,-0.44894476737039984,-0.7469066074434393
59,Stor-01,76,32,0.017984921770981117,0.9999429719967803,0.9564561731173005,0.04348679887948012,0.7233663157776181,0.12024832002716616
59,HartleyRd,75,33,0.014472423922411964,0.9999429719967803,0.9616575854410385,0.03828538655574203,0.5822690577273059,-0.07190990506740585
59,31,4,34,0.03420276425579667,0.9999429719967803,0.9896488228342334,0.010294149162547154,-0.1770414140825504,1.0074778532822515
59,183,38,35,0.0011896085994837417,0.9999429719967803,0.9997776174218453,0.0001653545749349947,-0.45180239335439526,-0.7985729029543984
59,118,19,36,0.0019634318087699454,0.9999429719967803,0.9997419399778394,0.00020103201894111115,-0.45083458130447707,-0.7562393554779223
59,186,41,37,0.0010314642392387327,0.9999429719967803,0.9997895592058464,0.00015341279093402735,-0.45212633479066167,-0.8072245067086261
59,114,15,38,0.0019921672808254566,0.9999429719967803,0.9998189863169664,0.0001239856798141423,-0.4529245958076567,-0.7546673239648807
59,124,22,39,0.0018102844644660636,0.9999429719967803,0.9996793394978606,0.0002636324989198781,-0.4491364355840683,-0.7646175874735288
59,84,10,40,0.031106578522344455,0.9999429719967803,0.9911447597003237,0.008798212296456843,-0.21762127525956798,0.8380948156967125
59,116,17,41,0.0019620855925909612,0.9999429719967803,0.9996856367644867,0.00025733523229372205,-0.44930725977543395,-0.7563130029284545
59,J288,59,42,0.01444541910096727,0.9999429719967803,0.962654977364452,0.03728799463232846,0.5552130858419536,-0.07338725787487367
